ID,Age,Gender,Income,Region,Q1_Satisfaction,Q2_EaseOfUse,Q3_Recommendation,Q4_Value,Q5_Reliability,SignupDate
1,69,2,62450.71,2,3,1,1,3,5,2025-09-04
2,41,2,52926.04,3,3,2,5,1,3,2024-07-21
3,24,2,64715.33,3,2,2,4,1,2,2024-05-15
4,33,3,77845.45,1,3,3,1,4,3,2025-11-22
5,63,1,51487.7,3,5,2,3,1,2,2024-11-25
6,70,3,51487.95,2,3,2,1,3,5,2024-11-02
7,28,2,78688.19,4,5,5,2,4,1,2024-10-16
8,32,2,66511.52,3,3,4,4,1,4,2024-08-12
9,58,1,47957.88,2,1,3,3,4,2,2025-11-19
10,54,2,63138.4,4,3,3,5,4,4,2024-07-14
11,58,3,48048.73,2,5,1,3,5,1,2025-10-03
12,33,3,48014.05,4,4,5,3,5,5,2025-11-22
13,25,3,58629.43,4,2,5,1,1,1,2026-03-19
14,65,3,26300.8,1,4,2,2,4,1,2025-06-23
15,20,1,29126.23,3,2,5,3,1,5,2024-07-02
16,72,2,46565.69,4,3,3,1,2,2,2025-07-28
17,22,2,39807.53,3,2,5,1,5,4,2025-03-19
18,22,1,59713.71,2,5,4,2,2,3,2024-05-20
19,62,3,41379.64,4,5,1,1,2,2,2024-05-19
20,39,2,33815.44,2,5,3,3,5,2,2024-07-07
21,21,1,76984.73,1,3,4,1,1,1,2024-10-12
22,26,1,51613.36,3,1,5,3,5,1,2024-10-23
23,34,1,56012.92,1,2,5,3,4,1,2025-05-23
24,25,1,33628.78,2,5,4,4,3,4,2025-08-06
25,52,1,46834.26,1,1,4,3,5,3,2024-05-16
26,75,2,56663.84,3,5,2,5,3,3,2025-07-05
27,55,3,37735.1,4,4,1,5,5,3,2024-09-27
28,75,2,60635.47,1,2,3,4,5,4,2025-11-03
29,49,3,45990.42,3,3,2,3,5,5,2025-09-12
30,64,3,50624.59,1,2,1,3,1,5,2025-10-22
31,48,3,45974.4,3,1,1,5,4,5,2025-06-23
32,57,3,82784.17,4,1,1,3,2,5,2025-03-17
33,37,3,54797.54,2,4,1,3,4,5,2024-10-14
34,59,1,39134.34,1,1,3,5,4,5,2025-04-09
35,21,3,67338.17,1,5,2,2,3,4,2025-07-27
36,68,2,36687.35,3,3,2,4,3,2,2024-11-28
37,37,1,58132.95,3,3,3,2,2,2,2026-01-14
38,39,1,25604.95,2,2,1,3,1,3,2026-03-02
39,32,2,35077.21,3,4,3,5,5,4,2024-05-01
40,57,3,57952.92,2,2,2,4,4,2,2025-12-06
41,37,2,66077.0,1,4,5,4,5,5,2026-01-11
42,31,3,57570.52,2,5,5,3,5,4,2024-08-28
43,43,3,53265.28,4,4,4,1,2,2,2025-10-20
44,59,3,50483.44,1,4,1,3,3,1,2025-03-20
45,71,1,32822.17,4,2,1,5,1,2,2025-01-15
46,69,2,44202.34,4,1,1,5,3,1,2024-11-27
47,71,1,48090.42,4,3,1,4,5,4,2024-08-24
48,41,2,70856.83,1,3,5,5,1,1,2024-10-10
49,38,1,60154.27,4,1,2,5,5,4,2025-12-10
50,24,1,28554.4,1,2,4,4,4,4,2025-01-12
51,73,3,59861.26,1,1,2,1,5,2,2024-07-14
52,67,2,49223.77,3,3,3,4,3,2,2024-07-07
53,59,1,44846.17,3,1,2,1,4,3,2025-02-15
54,28,3,64175.14,4,3,2,5,3,3,2024-07-10
55,18,1,70464.99,4,4,3,2,3,1,2025-01-29
56,42,2,68969.2,4,4,5,5,5,5,2026-02-13
57,35,3,42411.74,1,5,3,2,2,5,2025-01-18
58,28,2,50361.81,2,1,4,2,2,2,2025-08-07
59,43,1,59968.95,2,5,1,4,5,2,2024-11-17
60,44,3,69633.18,2,3,2,4,4,3,2026-01-12
61,55,1,47812.39,4,1,2,3,3,2,2024-05-29
62,74,1,52215.12,2,4,1,4,1,3,2025-11-13
63,62,3,38404.98,3,4,4,1,1,4,2025-04-17
64,20,3,37056.9,1,3,4,3,5,4,2025-06-16
65,61,2,67187.89,1,3,1,3,4,2,2024-07-31
66,32,1,75343.6,1,1,5,2,2,2,2026-04-12
67,18,1,53919.85,4,4,2,4,2,5,2025-02-14
68,50,2,70052.99,2,5,5,4,4,3,2024-06-26
69,66,3,60424.54,1,3,1,2,1,5,2025-06-28
70,22,3,45323.2,3,5,5,4,1,5,2024-12-09
71,56,3,60420.93,4,2,1,1,3,3,2026-01-30
72,44,2,78070.55,3,5,3,2,3,1,2025-08-27
73,32,3,54462.61,1,1,4,5,3,3,2025-08-19
74,73,2,78469.65,3,3,3,5,1,1,2026-03-14
75,73,2,15703.82,3,2,3,3,3,1,2026-02-24
76,33,1,67328.54,4,5,4,2,2,2,2025-01-31
77,31,1,56305.71,4,2,5,5,3,2,2025-07-18
78,40,2,50514.89,3,4,2,5,5,5,2024-09-22
79,64,1,56376.41,3,3,2,3,2,1,2025-10-25
80,26,3,25186.47,3,4,5,5,5,2,2024-06-19
81,44,3,51704.92,3,3,5,4,3,4,2024-05-31
82,36,2,60356.69,1,4,1,4,3,5,2025-09-21
